GOterm	Definition	Ontology_source
GO:0036080	Enables the transfer of a purine nucleotide-sugar from one side of the membrane to the other. Purine nucleotide-sugars are purine nucleotides in glycosidic linkage with a monosaccharide or monosaccharide derivative.	molecular_function
GO:0090092	Any process that modulates the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand.	biological_process
GO:0004675	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.	molecular_function
GO:1900417	A negative regulation of transcription from RNA polymerase II promoter that results in negative regulation of transmembrane transport.	biological_process
GO:1904557	The directed movement of L-alanine across a membrane.	biological_process
GO:1904556	The directed movement of L-tryptophan across a membrane.	biological_process
GO:1904555	The directed movement of L-proline across a membrane.	biological_process
GO:1904427	Any process that activates or increases the frequency, rate or extent of calcium ion transmembrane transport.	biological_process
GO:0051119	Catalysis of the transfer of a sugar from one side of the membrane to the other. A sugar is any member of a class of sweet, water-soluble, crystallizable carbohydrates, which are the monosaccharides and smaller oligosaccharides.	molecular_function
GO:0051982	Catalysis of the transfer of the copper chelate copper-nicotianamine (Cu-NA) from one side of a membrane to the other.	molecular_function
GO:0051981	Catalysis of the transfer of a copper chelate from one side of a membrane to the other. A copper chelate is a heterocyclic compound having a metal ion attached by coordinate bonds to at least two nonmetal ions.	molecular_function
GO:0051980	Catalysis of the transfer of the iron chelate iron-nicotianamine (Fe-NA) from one side of a membrane to the other.	molecular_function
GO:0051477	Enables the transfer of a mannosylglycerate from one side of the membrane to the other.	molecular_function
GO:0051474	Enables the transfer of a glucosylglycerol from one side of the membrane to the other. A glucosylglycerol is an alpha-D-glucopyranosyl-alpha-(1,2)-glycerol.	molecular_function
GO:0051471	Enables the transfer of ectoine from one side of the membrane to the other. Ectoine (1,4,5,6-tetrahydro-2-methyl-4-pyrimidinecarboxylic acid) is a tetrahydropyrimidine commonly synthesized by halophilic bacteria.	molecular_function
GO:0005001	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: protein tyrosine phosphate + H2O = protein tyrosine + phosphate.	molecular_function
GO:0005005	Combining with a transmembrane ephrin to initiate a change in cell activity.	molecular_function
GO:0051035	Enables the transfer of DNA, deoxyribonucleic acid, from one side of a membrane to the other.	molecular_function
GO:0051034	Enables the transfer of tRNA, transfer ribonucleic acid, from one side of a membrane to the other.	molecular_function
GO:0051033	Enables the transfer of RNA, ribonucleic acid, from one side of a membrane to the other.	molecular_function
GO:0051032	Enables the transfer of nucleic acids from one side of a membrane to the other. Nucleic acids are single or double-stranded polynucleotides involved in the storage, transmission and transfer of genetic information.	molecular_function
GO:0098663	Any transmembrane transporter activity that is involved in importing some substance into a cell.	molecular_function
GO:0098662	A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0098661	A process in which an inorganic anion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0098660	A process in which an inorganic ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0098656	A process in which an anion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0098655	A process in which a cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0098533	A transmembrane protein complex that functions in ATPase dependent active transport across a membrane.	cellular_component
GO:0043250	Catalysis of the transfer of organic anions from one side of a membrane to the other, in a sodium dependent manner.	molecular_function
GO:0043225	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + anion(out) = ADP + phosphate + anion(in).	molecular_function
GO:0001761	Enables the transfer of beta-alanine from one side of a membrane to the other. Beta-alanine is 3-aminopropanoic acid.	molecular_function
GO:0098838	The directed movement of reduced folate (dihydrofolate, tetrahydrofolate, methylene-tetrahydrofolate or methyl-tetrahydrofolate) across a membrane.	biological_process
GO:0099600	Combining with an extracellular or intracellular signal and transmitting a signal from one side of the membrane to the other.	molecular_function
GO:0099581	"Any ATPase coupled ion transmembrane transporter activity, occurring in the postsynaptic membrane, that is involved in regulation of postsynaptic membrane potential. "	molecular_function
GO:0099521	"Any ATPase coupled ion transmembrane transporter activity, occurring in the presynaptic membrane, that is involved in regulation of presynaptic membrane potential. "	molecular_function
GO:0015412	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + molybdate(out) = ADP + phosphate + molybdate(in).	molecular_function
GO:0015400	Catalysis of the transfer of ammonium from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations.	molecular_function
GO:0015399	Catalysis of the transfer of a solute from one side of the membrane to the other, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is powered by a primary energy source, directly using ATP. Primary energy sources known to be coupled to transport are chemical, electrical and solar sources.	molecular_function
GO:0015398	Catalysis of the transfer of ammonium from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0015395	Catalysis of the transfer of a nucleoside, from one side of a membrane to the other, down the concentration gradient.	molecular_function
GO:0015388	Enables the transfer of potassium from the outside of a cell to the inside of the cell across a membrane: K+(out) + energy = K+(in).	molecular_function
GO:0015381	Catalysis of the secondary active high affinity transfer of sulfate from one side of the membrane to the other. Secondary active transport is catalysis of the transfer of a solute from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport. In high-affinity transport the transporter is able to bind thesolute even if it is only present at very low concentrations.	molecular_function
GO:0015358	OBSOLETE (was not defined before being made obsolete).	molecular_function
GO:0015355	Catalysis of the movement of a monocarboxylate, any compound containing a single carboxyl group (COOH or COO-), by uniport, symport or antiport across a membrane by a carrier-mediated mechanism.	molecular_function
GO:0015352	Catalysis of the transfer of sterol from one side of the membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.	molecular_function
